question,instruction,answer
What is Elizabeth Bennet’s first impression of Mr. Darcy? (context version 814),Answer the following question based on the context.,"Elizabeth initially finds Mr. Darcy arrogant and prideful, particularly after he refuses to dance with her and makes dismissive remarks. (variation 814)"
Why does the creature become violent? (context version 2529),Answer the following question based on the context.,The creature becomes violent after repeated rejection and abuse from humans. His loneliness and Victor's abandonment fuel his desire for revenge. (variation 2529)
Why does Raskolnikov avoid his landlady? (context version 12190),Answer the following question based on the context.,He avoids his landlady because he is hopelessly in debt to her and dreads her demands for payment and trivial conversations. (variation 12190)
Where does Raskolnikov live at the beginning of the story? (context version 7768),Answer the following question based on the context.,"Raskolnikov lives in a small garret under the roof of a five-storied building, which is described as cramped and almost like a cupboard. (variation 7768)"
Why does Pip feel ashamed of Joe after visiting Miss Havisham? (context version 6376),Answer the following question based on the context.,"Pip begins to feel ashamed of Joe’s coarse manners and low social status, especially after being exposed to the wealth and refinement of Miss Havisham’s home. (variation 6376)"
How does Lucy's illness progress after being bitten by Dracula? (context version 6281),Answer the following question based on the context.,"Lucy's health deteriorates rapidly; she suffers from severe anemia, sleepwalking, and lethargy, despite several blood transfusions. Eventually, she dies and becomes a vampire. (variation 6281)"
Who is Alyona Ivanovna? (context version 11962),Answer the following question based on the context.,Alyona Ivanovna is a suspicious and miserly old pawnbroker whom Raskolnikov visits under the pretense of pawning items. (variation 11962)
What internal conflict does Raskolnikov experience as he walks to the old woman's house? (context version 11082),Answer the following question based on the context.,"Raskolnikov struggles with fear and self-loathing, questioning whether he is capable of committing a crime he has been contemplating and feeling disgusted with himself for even considering it. (variation 11082)"
How does Lucy's illness progress after being bitten by Dracula? (context version 5275),Answer the following question based on the context.,"Lucy's health deteriorates rapidly; she suffers from severe anemia, sleepwalking, and lethargy, despite several blood transfusions. Eventually, she dies and becomes a vampire. (variation 5275)"
How does Mr. Darcy demonstrate his change of character to Elizabeth? (context version 1080),Answer the following question based on the context.,"Mr. Darcy shows his change by helping Lydia Bennet’s family and by treating Elizabeth and her relatives with humility and respect, countering her earlier perception of him. (variation 1080)"
What is the significance of the letter Raskolnikov receives from his mother? (context version 2227),Answer the following question based on the context.,"The letter reveals the sacrifices his family is making for him and introduces the engagement of his sister, which troubles Raskolnikov deeply and contributes to his inner turmoil. (variation 2227)"
What is Raskolnikov’s reaction after leaving Alyona Ivanovna’s apartment? (context version 10153),Answer the following question based on the context.,"After leaving, Raskolnikov feels intense revulsion and self-hatred, questioning his sanity and morality for considering murder. (variation 10153)"
Who is Alyona Ivanovna? (context version 11881),Answer the following question based on the context.,Alyona Ivanovna is a suspicious and miserly old pawnbroker whom Raskolnikov visits under the pretense of pawning items. (variation 11881)
How does Estella influence Pip's ambitions? (context version 3516),Answer the following question based on the context.,Estella’s beauty and scorn awaken Pip’s desire to become a gentleman. He mistakenly believes that improving his social status will win her affection. (variation 3516)
Why does Pip feel ashamed of Joe after visiting Miss Havisham? (context version 2706),Answer the following question based on the context.,"Pip begins to feel ashamed of Joe’s coarse manners and low social status, especially after being exposed to the wealth and refinement of Miss Havisham’s home. (variation 2706)"
What motivates Raskolnikov's idea to commit a crime against Alyona Ivanovna? (context version 9730),Answer the following question based on the context.,"Raskolnikov believes that by killing Alyona Ivanovna, a 'useless' and 'harmful' person, he can free himself and others from her exploitation and use her wealth for good purposes. (variation 9730)"
What is Raskolnikov’s reaction after leaving Alyona Ivanovna’s apartment? (context version 7235),Answer the following question based on the context.,"After leaving, Raskolnikov feels intense revulsion and self-hatred, questioning his sanity and morality for considering murder. (variation 7235)"
Why does the creature become violent? (context version 1165),Answer the following question based on the context.,The creature becomes violent after repeated rejection and abuse from humans. His loneliness and Victor's abandonment fuel his desire for revenge. (variation 1165)
Why does Pip feel ashamed of Joe after visiting Miss Havisham? (context version 3262),Answer the following question based on the context.,"Pip begins to feel ashamed of Joe’s coarse manners and low social status, especially after being exposed to the wealth and refinement of Miss Havisham’s home. (variation 3262)"
Where does Raskolnikov live at the beginning of the story? (context version 7210),Answer the following question based on the context.,"Raskolnikov lives in a small garret under the roof of a five-storied building, which is described as cramped and almost like a cupboard. (variation 7210)"
What motivates Raskolnikov's idea to commit a crime against Alyona Ivanovna? (context version 12147),Answer the following question based on the context.,"Raskolnikov believes that by killing Alyona Ivanovna, a 'useless' and 'harmful' person, he can free himself and others from her exploitation and use her wealth for good purposes. (variation 12147)"
Why does Raskolnikov isolate himself from society in the early chapters? (context version 1451),Answer the following question based on the context.,"Raskolnikov isolates himself due to his poverty, pride, and a growing sense of alienation from the world around him. He is tormented by his theories and moral dilemmas, which distance him from others. (variation 1451)"
How does Lucy's illness progress after being bitten by Dracula? (context version 6127),Answer the following question based on the context.,"Lucy's health deteriorates rapidly; she suffers from severe anemia, sleepwalking, and lethargy, despite several blood transfusions. Eventually, she dies and becomes a vampire. (variation 6127)"
Why does Raskolnikov isolate himself from society in the early chapters? (context version 4230),Answer the following question based on the context.,"Raskolnikov isolates himself due to his poverty, pride, and a growing sense of alienation from the world around him. He is tormented by his theories and moral dilemmas, which distance him from others. (variation 4230)"
Where does Raskolnikov live at the beginning of the story? (context version 12007),Answer the following question based on the context.,"Raskolnikov lives in a small garret under the roof of a five-storied building, which is described as cramped and almost like a cupboard. (variation 12007)"
How does Mr. Darcy demonstrate his change of character to Elizabeth? (context version 3863),Answer the following question based on the context.,"Mr. Darcy shows his change by helping Lydia Bennet’s family and by treating Elizabeth and her relatives with humility and respect, countering her earlier perception of him. (variation 3863)"
What motivates Victor Frankenstein to create life? (context version 2937),Answer the following question based on the context.,"Victor is driven by a thirst for knowledge and glory. He becomes obsessed with uncovering the secrets of life and overcoming death, believing he can benefit humanity. (variation 2937)"
Who is Alyona Ivanovna? (context version 10499),Answer the following question based on the context.,Alyona Ivanovna is a suspicious and miserly old pawnbroker whom Raskolnikov visits under the pretense of pawning items. (variation 10499)
Why does Raskolnikov isolate himself from society in the early chapters? (context version 3918),Answer the following question based on the context.,"Raskolnikov isolates himself due to his poverty, pride, and a growing sense of alienation from the world around him. He is tormented by his theories and moral dilemmas, which distance him from others. (variation 3918)"
How does Mr. Darcy demonstrate his change of character to Elizabeth? (context version 5488),Answer the following question based on the context.,"Mr. Darcy shows his change by helping Lydia Bennet’s family and by treating Elizabeth and her relatives with humility and respect, countering her earlier perception of him. (variation 5488)"
What internal conflict does Raskolnikov experience as he walks to the old woman's house? (context version 12383),Answer the following question based on the context.,"Raskolnikov struggles with fear and self-loathing, questioning whether he is capable of committing a crime he has been contemplating and feeling disgusted with himself for even considering it. (variation 12383)"
What motivates Raskolnikov's idea to commit a crime against Alyona Ivanovna? (context version 10589),Answer the following question based on the context.,"Raskolnikov believes that by killing Alyona Ivanovna, a 'useless' and 'harmful' person, he can free himself and others from her exploitation and use her wealth for good purposes. (variation 10589)"
Why does Raskolnikov isolate himself from society in the early chapters? (context version 1724),Answer the following question based on the context.,"Raskolnikov isolates himself due to his poverty, pride, and a growing sense of alienation from the world around him. He is tormented by his theories and moral dilemmas, which distance him from others. (variation 1724)"
Who is Alyona Ivanovna? (context version 9579),Answer the following question based on the context.,Alyona Ivanovna is a suspicious and miserly old pawnbroker whom Raskolnikov visits under the pretense of pawning items. (variation 9579)
Who is Alyona Ivanovna? (context version 8431),Answer the following question based on the context.,Alyona Ivanovna is a suspicious and miserly old pawnbroker whom Raskolnikov visits under the pretense of pawning items. (variation 8431)
What internal conflict does Raskolnikov experience as he walks to the old woman's house? (context version 7656),Answer the following question based on the context.,"Raskolnikov struggles with fear and self-loathing, questioning whether he is capable of committing a crime he has been contemplating and feeling disgusted with himself for even considering it. (variation 7656)"
How does Estella influence Pip's ambitions? (context version 4057),Answer the following question based on the context.,Estella’s beauty and scorn awaken Pip’s desire to become a gentleman. He mistakenly believes that improving his social status will win her affection. (variation 4057)
What motivates Raskolnikov's idea to commit a crime against Alyona Ivanovna? (context version 12366),Answer the following question based on the context.,"Raskolnikov believes that by killing Alyona Ivanovna, a 'useless' and 'harmful' person, he can free himself and others from her exploitation and use her wealth for good purposes. (variation 12366)"
What is Elizabeth Bennet’s first impression of Mr. Darcy? (context version 3000),Answer the following question based on the context.,"Elizabeth initially finds Mr. Darcy arrogant and prideful, particularly after he refuses to dance with her and makes dismissive remarks. (variation 3000)"
What internal conflict does Raskolnikov experience as he walks to the old woman's house? (context version 8270),Answer the following question based on the context.,"Raskolnikov struggles with fear and self-loathing, questioning whether he is capable of committing a crime he has been contemplating and feeling disgusted with himself for even considering it. (variation 8270)"
Who is Alyona Ivanovna? (context version 11720),Answer the following question based on the context.,Alyona Ivanovna is a suspicious and miserly old pawnbroker whom Raskolnikov visits under the pretense of pawning items. (variation 11720)
What motivates Victor Frankenstein to create life? (context version 1232),Answer the following question based on the context.,"Victor is driven by a thirst for knowledge and glory. He becomes obsessed with uncovering the secrets of life and overcoming death, believing he can benefit humanity. (variation 1232)"
Why does the creature become violent? (context version 1515),Answer the following question based on the context.,The creature becomes violent after repeated rejection and abuse from humans. His loneliness and Victor's abandonment fuel his desire for revenge. (variation 1515)
How does Estella influence Pip's ambitions? (context version 2314),Answer the following question based on the context.,Estella’s beauty and scorn awaken Pip’s desire to become a gentleman. He mistakenly believes that improving his social status will win her affection. (variation 2314)
Why does Raskolnikov avoid his landlady? (context version 9526),Answer the following question based on the context.,He avoids his landlady because he is hopelessly in debt to her and dreads her demands for payment and trivial conversations. (variation 9526)
What motivates Victor Frankenstein to create life? (context version 1452),Answer the following question based on the context.,"Victor is driven by a thirst for knowledge and glory. He becomes obsessed with uncovering the secrets of life and overcoming death, believing he can benefit humanity. (variation 1452)"
What is Raskolnikov’s reaction after leaving Alyona Ivanovna’s apartment? (context version 10916),Answer the following question based on the context.,"After leaving, Raskolnikov feels intense revulsion and self-hatred, questioning his sanity and morality for considering murder. (variation 10916)"
Where does Raskolnikov live at the beginning of the story? (context version 7901),Answer the following question based on the context.,"Raskolnikov lives in a small garret under the roof of a five-storied building, which is described as cramped and almost like a cupboard. (variation 7901)"
What is Raskolnikov’s reaction after leaving Alyona Ivanovna’s apartment? (context version 9472),Answer the following question based on the context.,"After leaving, Raskolnikov feels intense revulsion and self-hatred, questioning his sanity and morality for considering murder. (variation 9472)"
Who is Alyona Ivanovna? (context version 10030),Answer the following question based on the context.,Alyona Ivanovna is a suspicious and miserly old pawnbroker whom Raskolnikov visits under the pretense of pawning items. (variation 10030)
Where does Raskolnikov live at the beginning of the story? (context version 11090),Answer the following question based on the context.,"Raskolnikov lives in a small garret under the roof of a five-storied building, which is described as cramped and almost like a cupboard. (variation 11090)"
How does Estella influence Pip's ambitions? (context version 4322),Answer the following question based on the context.,Estella’s beauty and scorn awaken Pip’s desire to become a gentleman. He mistakenly believes that improving his social status will win her affection. (variation 4322)
Where does Raskolnikov live at the beginning of the story? (context version 8813),Answer the following question based on the context.,"Raskolnikov lives in a small garret under the roof of a five-storied building, which is described as cramped and almost like a cupboard. (variation 8813)"
How does Mr. Darcy demonstrate his change of character to Elizabeth? (context version 839),Answer the following question based on the context.,"Mr. Darcy shows his change by helping Lydia Bennet’s family and by treating Elizabeth and her relatives with humility and respect, countering her earlier perception of him. (variation 839)"
What is Raskolnikov’s reaction after leaving Alyona Ivanovna’s apartment? (context version 12890),Answer the following question based on the context.,"After leaving, Raskolnikov feels intense revulsion and self-hatred, questioning his sanity and morality for considering murder. (variation 12890)"
Why does Raskolnikov isolate himself from society in the early chapters? (context version 6471),Answer the following question based on the context.,"Raskolnikov isolates himself due to his poverty, pride, and a growing sense of alienation from the world around him. He is tormented by his theories and moral dilemmas, which distance him from others. (variation 6471)"
What is Raskolnikov’s reaction after leaving Alyona Ivanovna’s apartment? (context version 7875),Answer the following question based on the context.,"After leaving, Raskolnikov feels intense revulsion and self-hatred, questioning his sanity and morality for considering murder. (variation 7875)"
What motivates Raskolnikov's idea to commit a crime against Alyona Ivanovna? (context version 10965),Answer the following question based on the context.,"Raskolnikov believes that by killing Alyona Ivanovna, a 'useless' and 'harmful' person, he can free himself and others from her exploitation and use her wealth for good purposes. (variation 10965)"
Why does Raskolnikov isolate himself from society in the early chapters? (context version 3900),Answer the following question based on the context.,"Raskolnikov isolates himself due to his poverty, pride, and a growing sense of alienation from the world around him. He is tormented by his theories and moral dilemmas, which distance him from others. (variation 3900)"
What motivates Raskolnikov's idea to commit a crime against Alyona Ivanovna? (context version 11052),Answer the following question based on the context.,"Raskolnikov believes that by killing Alyona Ivanovna, a 'useless' and 'harmful' person, he can free himself and others from her exploitation and use her wealth for good purposes. (variation 11052)"
Why does Pip feel ashamed of Joe after visiting Miss Havisham? (context version 3568),Answer the following question based on the context.,"Pip begins to feel ashamed of Joe’s coarse manners and low social status, especially after being exposed to the wealth and refinement of Miss Havisham’s home. (variation 3568)"
What internal conflict does Raskolnikov experience as he walks to the old woman's house? (context version 12048),Answer the following question based on the context.,"Raskolnikov struggles with fear and self-loathing, questioning whether he is capable of committing a crime he has been contemplating and feeling disgusted with himself for even considering it. (variation 12048)"
Why does Jonathan Harker travel to Transylvania? (context version 5453),Answer the following question based on the context.,"Jonathan Harker travels to Transylvania to assist Count Dracula with a real estate transaction in England, acting as his solicitor. (variation 5453)"
How does Lucy's illness progress after being bitten by Dracula? (context version 3088),Answer the following question based on the context.,"Lucy's health deteriorates rapidly; she suffers from severe anemia, sleepwalking, and lethargy, despite several blood transfusions. Eventually, she dies and becomes a vampire. (variation 3088)"
What internal conflict does Raskolnikov experience as he walks to the old woman's house? (context version 8659),Answer the following question based on the context.,"Raskolnikov struggles with fear and self-loathing, questioning whether he is capable of committing a crime he has been contemplating and feeling disgusted with himself for even considering it. (variation 8659)"
What internal conflict does Raskolnikov experience as he walks to the old woman's house? (context version 11238),Answer the following question based on the context.,"Raskolnikov struggles with fear and self-loathing, questioning whether he is capable of committing a crime he has been contemplating and feeling disgusted with himself for even considering it. (variation 11238)"
Why does Raskolnikov isolate himself from society in the early chapters? (context version 4547),Answer the following question based on the context.,"Raskolnikov isolates himself due to his poverty, pride, and a growing sense of alienation from the world around him. He is tormented by his theories and moral dilemmas, which distance him from others. (variation 4547)"
How does Lucy's illness progress after being bitten by Dracula? (context version 4693),Answer the following question based on the context.,"Lucy's health deteriorates rapidly; she suffers from severe anemia, sleepwalking, and lethargy, despite several blood transfusions. Eventually, she dies and becomes a vampire. (variation 4693)"
Why does Jonathan Harker travel to Transylvania? (context version 1715),Answer the following question based on the context.,"Jonathan Harker travels to Transylvania to assist Count Dracula with a real estate transaction in England, acting as his solicitor. (variation 1715)"
Where does Raskolnikov live at the beginning of the story? (context version 7822),Answer the following question based on the context.,"Raskolnikov lives in a small garret under the roof of a five-storied building, which is described as cramped and almost like a cupboard. (variation 7822)"
How does Estella influence Pip's ambitions? (context version 4271),Answer the following question based on the context.,Estella’s beauty and scorn awaken Pip’s desire to become a gentleman. He mistakenly believes that improving his social status will win her affection. (variation 4271)
Why does Jonathan Harker travel to Transylvania? (context version 340),Answer the following question based on the context.,"Jonathan Harker travels to Transylvania to assist Count Dracula with a real estate transaction in England, acting as his solicitor. (variation 340)"
Why does Raskolnikov avoid his landlady? (context version 9664),Answer the following question based on the context.,He avoids his landlady because he is hopelessly in debt to her and dreads her demands for payment and trivial conversations. (variation 9664)
How does Lucy's illness progress after being bitten by Dracula? (context version 4087),Answer the following question based on the context.,"Lucy's health deteriorates rapidly; she suffers from severe anemia, sleepwalking, and lethargy, despite several blood transfusions. Eventually, she dies and becomes a vampire. (variation 4087)"
What is the significance of the letter Raskolnikov receives from his mother? (context version 6664),Answer the following question based on the context.,"The letter reveals the sacrifices his family is making for him and introduces the engagement of his sister, which troubles Raskolnikov deeply and contributes to his inner turmoil. (variation 6664)"
How does Estella influence Pip's ambitions? (context version 904),Answer the following question based on the context.,Estella’s beauty and scorn awaken Pip’s desire to become a gentleman. He mistakenly believes that improving his social status will win her affection. (variation 904)
What motivates Raskolnikov's idea to commit a crime against Alyona Ivanovna? (context version 10572),Answer the following question based on the context.,"Raskolnikov believes that by killing Alyona Ivanovna, a 'useless' and 'harmful' person, he can free himself and others from her exploitation and use her wealth for good purposes. (variation 10572)"
Why does the creature become violent? (context version 3219),Answer the following question based on the context.,The creature becomes violent after repeated rejection and abuse from humans. His loneliness and Victor's abandonment fuel his desire for revenge. (variation 3219)
How does Mr. Darcy demonstrate his change of character to Elizabeth? (context version 589),Answer the following question based on the context.,"Mr. Darcy shows his change by helping Lydia Bennet’s family and by treating Elizabeth and her relatives with humility and respect, countering her earlier perception of him. (variation 589)"
Why does Pip feel ashamed of Joe after visiting Miss Havisham? (context version 3366),Answer the following question based on the context.,"Pip begins to feel ashamed of Joe’s coarse manners and low social status, especially after being exposed to the wealth and refinement of Miss Havisham’s home. (variation 3366)"
Why does Jonathan Harker travel to Transylvania? (context version 2671),Answer the following question based on the context.,"Jonathan Harker travels to Transylvania to assist Count Dracula with a real estate transaction in England, acting as his solicitor. (variation 2671)"
Why does Pip feel ashamed of Joe after visiting Miss Havisham? (context version 5516),Answer the following question based on the context.,"Pip begins to feel ashamed of Joe’s coarse manners and low social status, especially after being exposed to the wealth and refinement of Miss Havisham’s home. (variation 5516)"
Why does Pip feel ashamed of Joe after visiting Miss Havisham? (context version 3590),Answer the following question based on the context.,"Pip begins to feel ashamed of Joe’s coarse manners and low social status, especially after being exposed to the wealth and refinement of Miss Havisham’s home. (variation 3590)"
Why does the creature become violent? (context version 35),Answer the following question based on the context.,The creature becomes violent after repeated rejection and abuse from humans. His loneliness and Victor's abandonment fuel his desire for revenge. (variation 35)
Why does the creature become violent? (context version 29),Answer the following question based on the context.,The creature becomes violent after repeated rejection and abuse from humans. His loneliness and Victor's abandonment fuel his desire for revenge. (variation 29)
Why does Raskolnikov isolate himself from society in the early chapters? (context version 2396),Answer the following question based on the context.,"Raskolnikov isolates himself due to his poverty, pride, and a growing sense of alienation from the world around him. He is tormented by his theories and moral dilemmas, which distance him from others. (variation 2396)"
What is Raskolnikov’s reaction after leaving Alyona Ivanovna’s apartment? (context version 7614),Answer the following question based on the context.,"After leaving, Raskolnikov feels intense revulsion and self-hatred, questioning his sanity and morality for considering murder. (variation 7614)"
Why does Raskolnikov avoid his landlady? (context version 12626),Answer the following question based on the context.,He avoids his landlady because he is hopelessly in debt to her and dreads her demands for payment and trivial conversations. (variation 12626)
How does Mr. Darcy demonstrate his change of character to Elizabeth? (context version 5507),Answer the following question based on the context.,"Mr. Darcy shows his change by helping Lydia Bennet’s family and by treating Elizabeth and her relatives with humility and respect, countering her earlier perception of him. (variation 5507)"
Who is Alyona Ivanovna? (context version 7811),Answer the following question based on the context.,Alyona Ivanovna is a suspicious and miserly old pawnbroker whom Raskolnikov visits under the pretense of pawning items. (variation 7811)
How does Lucy's illness progress after being bitten by Dracula? (context version 2171),Answer the following question based on the context.,"Lucy's health deteriorates rapidly; she suffers from severe anemia, sleepwalking, and lethargy, despite several blood transfusions. Eventually, she dies and becomes a vampire. (variation 2171)"
What motivates Raskolnikov's idea to commit a crime against Alyona Ivanovna? (context version 12189),Answer the following question based on the context.,"Raskolnikov believes that by killing Alyona Ivanovna, a 'useless' and 'harmful' person, he can free himself and others from her exploitation and use her wealth for good purposes. (variation 12189)"
Why does Raskolnikov avoid his landlady? (context version 7949),Answer the following question based on the context.,He avoids his landlady because he is hopelessly in debt to her and dreads her demands for payment and trivial conversations. (variation 7949)
How does Estella influence Pip's ambitions? (context version 890),Answer the following question based on the context.,Estella’s beauty and scorn awaken Pip’s desire to become a gentleman. He mistakenly believes that improving his social status will win her affection. (variation 890)
How does Lucy's illness progress after being bitten by Dracula? (context version 3879),Answer the following question based on the context.,"Lucy's health deteriorates rapidly; she suffers from severe anemia, sleepwalking, and lethargy, despite several blood transfusions. Eventually, she dies and becomes a vampire. (variation 3879)"
How does Estella influence Pip's ambitions? (context version 3323),Answer the following question based on the context.,Estella’s beauty and scorn awaken Pip’s desire to become a gentleman. He mistakenly believes that improving his social status will win her affection. (variation 3323)
Where does Raskolnikov live at the beginning of the story? (context version 12216),Answer the following question based on the context.,"Raskolnikov lives in a small garret under the roof of a five-storied building, which is described as cramped and almost like a cupboard. (variation 12216)"
What is Elizabeth Bennet’s first impression of Mr. Darcy? (context version 3515),Answer the following question based on the context.,"Elizabeth initially finds Mr. Darcy arrogant and prideful, particularly after he refuses to dance with her and makes dismissive remarks. (variation 3515)"
Why does Raskolnikov avoid his landlady? (context version 8415),Answer the following question based on the context.,He avoids his landlady because he is hopelessly in debt to her and dreads her demands for payment and trivial conversations. (variation 8415)
Where does Raskolnikov live at the beginning of the story? (context version 10842),Answer the following question based on the context.,"Raskolnikov lives in a small garret under the roof of a five-storied building, which is described as cramped and almost like a cupboard. (variation 10842)"
What motivates Victor Frankenstein to create life? (context version 5674),Answer the following question based on the context.,"Victor is driven by a thirst for knowledge and glory. He becomes obsessed with uncovering the secrets of life and overcoming death, believing he can benefit humanity. (variation 5674)"
Who is Alyona Ivanovna? (context version 8974),Answer the following question based on the context.,Alyona Ivanovna is a suspicious and miserly old pawnbroker whom Raskolnikov visits under the pretense of pawning items. (variation 8974)
What is the significance of the letter Raskolnikov receives from his mother? (context version 2775),Answer the following question based on the context.,"The letter reveals the sacrifices his family is making for him and introduces the engagement of his sister, which troubles Raskolnikov deeply and contributes to his inner turmoil. (variation 2775)"
How does Lucy's illness progress after being bitten by Dracula? (context version 6560),Answer the following question based on the context.,"Lucy's health deteriorates rapidly; she suffers from severe anemia, sleepwalking, and lethargy, despite several blood transfusions. Eventually, she dies and becomes a vampire. (variation 6560)"
What is the significance of the letter Raskolnikov receives from his mother? (context version 3734),Answer the following question based on the context.,"The letter reveals the sacrifices his family is making for him and introduces the engagement of his sister, which troubles Raskolnikov deeply and contributes to his inner turmoil. (variation 3734)"
What motivates Raskolnikov's idea to commit a crime against Alyona Ivanovna? (context version 8819),Answer the following question based on the context.,"Raskolnikov believes that by killing Alyona Ivanovna, a 'useless' and 'harmful' person, he can free himself and others from her exploitation and use her wealth for good purposes. (variation 8819)"
Who is Alyona Ivanovna? (context version 12555),Answer the following question based on the context.,Alyona Ivanovna is a suspicious and miserly old pawnbroker whom Raskolnikov visits under the pretense of pawning items. (variation 12555)
Why does Raskolnikov avoid his landlady? (context version 9898),Answer the following question based on the context.,He avoids his landlady because he is hopelessly in debt to her and dreads her demands for payment and trivial conversations. (variation 9898)
Why does Raskolnikov isolate himself from society in the early chapters? (context version 4529),Answer the following question based on the context.,"Raskolnikov isolates himself due to his poverty, pride, and a growing sense of alienation from the world around him. He is tormented by his theories and moral dilemmas, which distance him from others. (variation 4529)"
Why does Jonathan Harker travel to Transylvania? (context version 1655),Answer the following question based on the context.,"Jonathan Harker travels to Transylvania to assist Count Dracula with a real estate transaction in England, acting as his solicitor. (variation 1655)"
How does Estella influence Pip's ambitions? (context version 4275),Answer the following question based on the context.,Estella’s beauty and scorn awaken Pip’s desire to become a gentleman. He mistakenly believes that improving his social status will win her affection. (variation 4275)
What is the significance of the letter Raskolnikov receives from his mother? (context version 220),Answer the following question based on the context.,"The letter reveals the sacrifices his family is making for him and introduces the engagement of his sister, which troubles Raskolnikov deeply and contributes to his inner turmoil. (variation 220)"
How does Estella influence Pip's ambitions? (context version 224),Answer the following question based on the context.,Estella’s beauty and scorn awaken Pip’s desire to become a gentleman. He mistakenly believes that improving his social status will win her affection. (variation 224)
Where does Raskolnikov live at the beginning of the story? (context version 11210),Answer the following question based on the context.,"Raskolnikov lives in a small garret under the roof of a five-storied building, which is described as cramped and almost like a cupboard. (variation 11210)"
Why does Raskolnikov avoid his landlady? (context version 7882),Answer the following question based on the context.,He avoids his landlady because he is hopelessly in debt to her and dreads her demands for payment and trivial conversations. (variation 7882)
What motivates Raskolnikov's idea to commit a crime against Alyona Ivanovna? (context version 9495),Answer the following question based on the context.,"Raskolnikov believes that by killing Alyona Ivanovna, a 'useless' and 'harmful' person, he can free himself and others from her exploitation and use her wealth for good purposes. (variation 9495)"
Why does Raskolnikov isolate himself from society in the early chapters? (context version 5983),Answer the following question based on the context.,"Raskolnikov isolates himself due to his poverty, pride, and a growing sense of alienation from the world around him. He is tormented by his theories and moral dilemmas, which distance him from others. (variation 5983)"
Why does the creature become violent? (context version 4240),Answer the following question based on the context.,The creature becomes violent after repeated rejection and abuse from humans. His loneliness and Victor's abandonment fuel his desire for revenge. (variation 4240)
How does Estella influence Pip's ambitions? (context version 5883),Answer the following question based on the context.,Estella’s beauty and scorn awaken Pip’s desire to become a gentleman. He mistakenly believes that improving his social status will win her affection. (variation 5883)
What is Elizabeth Bennet’s first impression of Mr. Darcy? (context version 1591),Answer the following question based on the context.,"Elizabeth initially finds Mr. Darcy arrogant and prideful, particularly after he refuses to dance with her and makes dismissive remarks. (variation 1591)"
Who is Alyona Ivanovna? (context version 9114),Answer the following question based on the context.,Alyona Ivanovna is a suspicious and miserly old pawnbroker whom Raskolnikov visits under the pretense of pawning items. (variation 9114)
What is the significance of the letter Raskolnikov receives from his mother? (context version 3257),Answer the following question based on the context.,"The letter reveals the sacrifices his family is making for him and introduces the engagement of his sister, which troubles Raskolnikov deeply and contributes to his inner turmoil. (variation 3257)"
Why does Raskolnikov avoid his landlady? (context version 7854),Answer the following question based on the context.,He avoids his landlady because he is hopelessly in debt to her and dreads her demands for payment and trivial conversations. (variation 7854)
What internal conflict does Raskolnikov experience as he walks to the old woman's house? (context version 11330),Answer the following question based on the context.,"Raskolnikov struggles with fear and self-loathing, questioning whether he is capable of committing a crime he has been contemplating and feeling disgusted with himself for even considering it. (variation 11330)"
Where does Raskolnikov live at the beginning of the story? (context version 8120),Answer the following question based on the context.,"Raskolnikov lives in a small garret under the roof of a five-storied building, which is described as cramped and almost like a cupboard. (variation 8120)"
How does Mr. Darcy demonstrate his change of character to Elizabeth? (context version 2182),Answer the following question based on the context.,"Mr. Darcy shows his change by helping Lydia Bennet’s family and by treating Elizabeth and her relatives with humility and respect, countering her earlier perception of him. (variation 2182)"
Who is Alyona Ivanovna? (context version 8337),Answer the following question based on the context.,Alyona Ivanovna is a suspicious and miserly old pawnbroker whom Raskolnikov visits under the pretense of pawning items. (variation 8337)
What internal conflict does Raskolnikov experience as he walks to the old woman's house? (context version 9718),Answer the following question based on the context.,"Raskolnikov struggles with fear and self-loathing, questioning whether he is capable of committing a crime he has been contemplating and feeling disgusted with himself for even considering it. (variation 9718)"
Why does Pip feel ashamed of Joe after visiting Miss Havisham? (context version 1474),Answer the following question based on the context.,"Pip begins to feel ashamed of Joe’s coarse manners and low social status, especially after being exposed to the wealth and refinement of Miss Havisham’s home. (variation 1474)"
Why does Raskolnikov isolate himself from society in the early chapters? (context version 6166),Answer the following question based on the context.,"Raskolnikov isolates himself due to his poverty, pride, and a growing sense of alienation from the world around him. He is tormented by his theories and moral dilemmas, which distance him from others. (variation 6166)"
Why does Raskolnikov isolate himself from society in the early chapters? (context version 6104),Answer the following question based on the context.,"Raskolnikov isolates himself due to his poverty, pride, and a growing sense of alienation from the world around him. He is tormented by his theories and moral dilemmas, which distance him from others. (variation 6104)"
Why does Raskolnikov avoid his landlady? (context version 9859),Answer the following question based on the context.,He avoids his landlady because he is hopelessly in debt to her and dreads her demands for payment and trivial conversations. (variation 9859)
What is Elizabeth Bennet’s first impression of Mr. Darcy? (context version 5218),Answer the following question based on the context.,"Elizabeth initially finds Mr. Darcy arrogant and prideful, particularly after he refuses to dance with her and makes dismissive remarks. (variation 5218)"
Who is Alyona Ivanovna? (context version 9823),Answer the following question based on the context.,Alyona Ivanovna is a suspicious and miserly old pawnbroker whom Raskolnikov visits under the pretense of pawning items. (variation 9823)
Who is Alyona Ivanovna? (context version 9705),Answer the following question based on the context.,Alyona Ivanovna is a suspicious and miserly old pawnbroker whom Raskolnikov visits under the pretense of pawning items. (variation 9705)
